Id,SalePrice
2,113628.95856247819
4,280222.5995357421
6,170466.74517487807
7,211125.38965430777
17,195217.88147005663
18,357994.360866494
22,160545.9793250165
27,101946.42570863571
31,115004.29471070963
36,150668.96675649582
39,386724.6339126339
40,251119.86282503253
42,340254.1516685462
46,206507.95473084616
53,178888.42666651073
58,153109.5359598754
61,334586.07129030465
72,232603.9408304417
79,113036.62358761884
80,205923.5209560691
82,155346.90504793558
83,104755.79138817481
85,145550.19039174507
88,115542.55987715231
92,281788.34567452205
93,272775.0231090954
95,208502.2729956408
102,211804.07706273455
103,176033.53538744288
106,225122.50694320785
107,151518.09488132483
110,216732.56214090833
114,191365.35666804854
116,180328.32315102863
117,153357.1962254724
118,146276.13903638627
125,141117.50650279562
126,171768.03492246917
127,134541.68739612884
128,227289.3659300428
134,140234.0177421624
135,161264.94441109218
137,266509.31021283026
143,140483.51792579747
147,131784.47513622587
148,188832.71782259055
150,104680.33856735688
156,145986.2536459079
157,125557.74589619962
159,157156.61620013157
161,274466.5387839312
167,139321.621057817
170,151587.67558784466
171,94991.18810486118
175,113807.26008550504
179,140588.16548180953
181,124473.69941361458
186,210368.0469559536
193,218997.73021938608
194,68231.37150207255
206,104351.93146455746
208,159772.13388996548
210,171467.30546758362
211,111421.71479825636
212,120441.6060541062
214,122723.33031211188
215,140998.79529427804
217,156967.55117093015
222,135145.04483538208
227,137489.75276849914
228,143334.79718396778
233,217506.26250185265
235,122318.29847355359
238,130916.2419946618
241,171546.54116185548
252,193644.84032324006
253,195645.01465924256
256,138748.5995373894
257,168223.76821538547
258,189319.41370576437
259,183574.3304100617
261,155137.78475702912
263,109129.56708581898
266,220963.29837139923
267,228079.45472088177
270,156369.1284618992
271,243017.7887285836
276,108060.8522627678
285,172917.65568930906
288,69560.44396469658
289,142295.44978346713
290,109835.24724393396
291,145413.05401996878
292,133961.24637789355
293,201092.37107323288
294,253876.16481049842
295,199483.18149859167
304,127694.71263145181
322,379919.5354020726
326,174002.55226314493
327,89134.35495442951
328,122511.69100586619
331,74855.02002505364
332,85886.92909954156
333,90832.220289177
335,134190.37295135242
337,195756.68511242766
342,113992.57291318552
343,179568.71567953628
347,162823.80872699452
350,342941.7696939943
352,213945.3732591587
358,194808.26982766873
359,159634.78370450472
360,164342.2075827342
368,335895.4952136747
369,244590.98679317886
373,182841.2532050407
377,251032.79483313137
383,160060.84079713697
386,230163.81204086234
387,222573.84838114827
390,154858.86217844457
391,158244.06757456975
395,150412.14234812514
397,138377.40778603486
398,99771.03832835761
401,106619.9567514781
404,137824.69497979613
408,115422.71735259339
409,128522.4924147111
410,153575.96952569502
418,121653.79671081569
422,431228.43378021184
427,406951.3070548723
431,407405.0365437505
433,473531.80533387396
437,343900.55436478637
438,297737.0788201451
442,376545.8133587135
447,228095.3521042247
459,380820.09108674305
460,340400.78322005505
464,195955.02172633226
465,174571.83385106752
467,166330.09493610237
468,172920.84997381797
474,179530.7302770659
480,190600.0726467279
481,178362.9214227638
483,207258.0930929694
488,191000.88143676877
492,178355.47696957557
494,144588.02272641702
499,313554.93637253577
500,295105.7542181722
501,306765.98709360464
503,240791.18002614228
506,208762.38058375305
508,268400.6879612582
511,265218.89907602425
515,211688.40503918577
519,212106.07119849027
521,258903.70639920695
530,226834.95106960132
532,223182.183488686
534,198089.8303755318
540,187110.28476426084
541,139855.06288146277
551,150220.41898510596
552,159047.70984787712
554,92874.99157925264
555,118069.61073309687
556,123964.4262065585
557,118693.01753360956
565,215788.8868571703
566,302051.2634756784
567,161872.78867061043
569,239315.41998040208
570,199499.1359160373
574,229467.4637175105
575,327560.0198481718
576,195735.93016135672
577,232088.73485659063
578,230760.20974183222
583,222920.49834900384
584,196999.19983403693
585,142890.0911496485
587,219208.7993088768
593,207940.62023693498
597,212265.0108304666
598,177410.21022435036
599,152971.6359808264
600,98282.35732070975
605,188011.2939741262
607,171133.4779248642
608,151658.53495588392
611,165756.89315555058
616,116802.5768038733
625,188085.18062760428
629,183621.67142547749
630,142818.33979617085
631,132030.29219052556
640,189473.7237028708
